codusu,nro_hogar,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,ipcf,pondera,cat_ocup,pp03d,pp3e_tot,pp3f_tot,pp04a,pp04c,pp10a,pp3e_tot_missing,pp3f_tot_missing,anio,itf,pondih
137799,1.0,1.0,7.0,5.0,1.0,1.0,4.0,3.0,504.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
137799,1.0,1.0,10.0,5.0,1.0,1.0,3.0,3.0,504.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
137799,1.0,2.0,6.0,5.0,1.0,1.0,4.0,3.0,504.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
137930,1.0,2.0,25.0,1.0,4.0,1.0,3.0,4.0,166.66666666666666,738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
137930,1.0,1.0,39.0,1.0,4.0,3.0,1.0,0.0,166.66666666666666,738.0,2.0,0.0,44.0,0.0,2.0,1.0,0.0,0,0,2005,,
137930,1.0,2.0,0.0,5.0,4.0,7.0,4.0,5.0,166.66666666666666,738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
138870,1.0,2.0,43.0,3.0,4.0,3.0,1.0,0.0,150.0,657.0,3.0,0.0,20.0,0.0,1.0,8.0,0.0,0,0,2005,,
139203,1.0,2.0,77.0,1.0,1.0,1.0,3.0,1.0,190.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
139203,1.0,1.0,78.0,1.0,1.0,2.0,3.0,1.0,190.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
139226,1.0,2.0,74.0,4.0,1.0,2.0,2.0,0.0,300.0,531.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0,2005,,
