codusu,nro_hogar,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,itf,ipcf,pondera,pondih,cat_ocup,pp03d,pp3e_tot,pp3f_tot,pp04a,pp04c,pp10a,pp3e_tot_missing,pp3f_tot_missing
TQRMNOQSSHKOKQCDEFLID00865371,1,2,87,4,1.0,2,3,2,0.0,0.0,239.0,,0,,,,,,,0,0
TQRMNORRWHKNKRCDEFLID00857684,1,2,57,3,1.0,3,3,4,420000.0,210000.0,458.0,1015.0,0,,,,,,,0,0
TQRMNORRWHKNKRCDEFLID00857684,1,2,24,5,4.0,3,3,4,420000.0,210000.0,458.0,1015.0,0,,,,,,,0,0
TQRMNOPSVHKMLOCDEIMBF00861588,1,2,10,5,1.0,1,3,3,1160000.0,386666.67,208.0,263.0,0,,,,,,,0,0
TQRMNOUSVHKLKTCDEIKAH00877722,1,1,20,5,1.0,4,1,0,4000000.0,4000000.0,1361.0,1230.0,2,0.0,42.0,0.0,2.0,1.0,,0,0
TQRMNORWYHKOKMCDEIMBF00857650,1,2,25,5,1.0,5,1,0,750000.0,750000.0,151.0,205.0,3,0.0,63.0,0.0,2.0,6.0,,0,0
TQRMNOTXQHMKKMCDEIOAH00877723,1,2,82,1,1.0,2,3,1,705000.0,352500.0,215.0,309.0,0,,,,,,,0,0
TQRMNOPSUHLMKTCDEIKAH00873277,1,2,73,5,1.0,6,3,1,0.0,0.0,726.0,,0,,,,,,,0,0
TQRMNOQXSHMMKPCDEIMBF00877752,1,2,58,3,1.0,3,1,0,1280000.0,640000.0,100.0,118.0,3,0.0,56.0,0.0,2.0,0.0,,0,0
TQRMNOQXSHMMKPCDEIMBF00877752,1,2,30,5,1.0,5,1,0,1280000.0,640000.0,100.0,118.0,3,0.0,48.0,0.0,2.0,6.0,,0,0
